Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
0 outs,60,,106,90,12,34,3,0,3,13,1,0,12,13,.378,.448,.511,.959,46,3,1,1,2,1,0,.408,114,172
1 out,72,,127,105,22,28,9,0,6,23,0,2,19,19,.267,.394,.524,.918,55,7,3,0,0,0,0,.275,104,156
2 outs,61,,97,86,11,27,3,0,2,18,3,0,10,17,.314,.392,.419,.810,36,0,1,0,0,0,0,.373,82,138
